Cultura,Quantidade_a_ser_Plantada_Toneladas,Producao_Total_Toneladas,Tipo_de_Solo,Tipo_de_Irrigacao,Frequencia_Irrigacao,Temperatura_Media,Fertilizante,Pragas,Rotacao_de_Culturas,Tecnologia_Utilizada,Perimetro,Estacao,Custo_Fertilizante
Arroz,52,213.2,Calcário,Sulcos,Mensal,31,Fosfato,Fungos,Não,Alto,106.18101782710437,Inverno,180
Batata,93,288.3,Areia,Sulcos,Semanal,25,Fosfato,Fungos,Sim,Baixo,192.60714596148742,Primavera,180
Batata,15,52.5,Aluvial,Sulcos,Semanal,29,Nenhum,Ferrugem,Não,Baixo,159.79909127171078,Verão,0
Arroz,72,252.0,Argila,Sulcos,Mensal,25,Fosfato,Insetos,Não,Médio,139.7987726295555,Verão,180
Cana-de-Açúcar,61,231.8,Aluvial,Sulcos,Diária,30,Fosfato,Insetos,Não,Baixo,73.40279606636548,Verão,180
Arroz,21,77.7,Argila,Sulcos,Mensal,25,Fosfato,Nenhuma,Não,Alto,73.3991780504304,Verão,180
Uva,83,257.3,Silte,Gotejamento,Diária,18,Composto,Ferrugem,Sim,Baixo,58.71254182522992,Outono,150
Soja,87,278.40000000000003,Argila,Gotejamento,Diária,24,Nenhum,Ferrugem,Sim,Alto,179.92642186624028,Verão,0
Uva,75,240.0,Calcário,Sulcos,Mensal,22,Fosfato,Ferrugem,Sim,Baixo,140.16725176148134,Outono,180
Milho,75,277.5,Areia,Aspersão,Mensal,32,Nenhum,Ferrugem,Sim,Baixo,156.21088666940682,Outono,0
Cana-de-Açúcar,88,378.4,Silte,Aspersão,Diária,33,Orgânico,Insetos,Não,Baixo,53.08767414437037,Verão,100
Cana-de-Açúcar,24,76.80000000000001,Argila,Aspersão,Diária,19,Orgânico,Insetos,Sim,Baixo,195.48647782429916,Verão,100
Trigo,3,12.0,Aluvial,Gotejamento,Diária,27,Fosfato,Fungos,Não,Alto,174.86639612006326,Inverno,180
Café,22,57.2,Silte,Gotejamento,Mensal,19,Nenhum,Insetos,Sim,Alto,81.85086660174142,Primavera,0
Milho,53,174.9,Silte,Gotejamento,Mensal,26,Nenhum,Fungos,Sim,Médio,77.2737450810651,Verão,0
Batata,2,9.2,Argila,Aspersão,Diária,33,Nenhum,Insetos,Sim,Alto,77.51067647801507,Inverno,0
Cana-de-Açúcar,88,246.4,Silte,Gotejamento,Diária,18,Composto,Insetos,Não,Baixo,95.63633644393066,Inverno,150
Arroz,30,96.0,Aluvial,Gotejamento,Mensal,22,Orgânico,Ferrugem,Sim,Médio,128.71346474483568,Primavera,100
Milho,38,148.2,Silte,Aspersão,Diária,31,Nenhum,Ferrugem,Sim,Médio,114.79175279631737,Outono,0
Trigo,2,6.4,Aluvial,Sulcos,Semanal,19,Nenhum,Nenhuma,Não,Médio,93.68437102970628,Verão,0
Batata,64,204.8,Argila,Gotejamento,Diária,19,Composto,Insetos,Sim,Baixo,141.77793420835692,Primavera,150
Café,60,234.0,Areia,Gotejamento,Semanal,28,Composto,Nenhuma,Sim,Alto,70.92407909780627,Verão,150
Café,21,56.7,Silte,Aspersão,Mensal,22,Nenhum,Insetos,Não,Baixo,93.82169728028272,Inverno,0
Trigo,33,82.5,Areia,Aspersão,Mensal,18,Nitrogênio,Fungos,Não,Médio,104.95427649405376,Inverno,200
Trigo,76,296.4,Aluvial,Sulcos,Mensal,29,Nenhum,Insetos,Não,Baixo,118.41049763255539,Outono,0
